sofa 28 43 534 440 0.179253 0.757448 ceiling
paper 63 422 64 425 0.172216 0.381069 BG
paper 506 397 512 397 0.170396 0.370557 BG
paper 347 379 349 382 0.170228 0.243595 BG
paper 191 387 197 395 0.169999 0.158748 BG
paper 304 1 318 31 0.169476 0.087511 BG
paper 574 396 577 398 0.168995 0.198496 BG
paper 189 385 192 387 0.168555 0.148646 BG
paper 498 407 502 413 0.168263 0.336084 BG
paper 437 95 447 114 0.167795 0.207554 BG
paper 506 390 512 395 0.167652 0.433029 BG
paper 405 436 409 440 0.166095 0.501137 BG
paper 565 376 575 381 0.165776 0.050521 BG
paper 111 387 115 391 0.165237 0.110408 BG
paper 504 416 517 428 0.164931 0.297467 BG
paper 544 17 560 31 0.162663 0.110440 BG
paper 163 9 176 32 0.161547 0.182898 BG
paper 143 395 147 395 0.161391 0.150735 BG
paper 454 424 457 440 0.161282 0.338763 BG
paper 550 278 562 288 0.160774 0.314610 BG
paper 458 440 462 440 0.157565 0.366694 BG
paper 153 399 156 401 0.156904 0.144996 BG
paper 557 391 557 395 0.156467 0.068705 BG
paper 547 367 556 373 0.155964 0.075567 BG
paper 573 388 575 391 0.155017 0.171205 BG
paper 66 400 70 403 0.154397 0.131032 BG
paper 159 398 162 399 0.154265 0.146474 BG
paper 554 371 554 374 0.154136 0.085291 BG
paper 301 429 307 440 0.153188 0.193893 BG
paper 555 368 558 372 0.15294 0.045464 BG
paper 550 380 555 386 0.152924 0.078648 BG
paper 547 383 549 386 0.152623 0.077078 BG
paper 306 435 307 438 0.15255 0.227404 BG
paper 496 369 512 395 0.152548 0.517372 BG
paper 76 400 78 404 0.152459 0.135104 BG
paper 80 400 83 403 0.152174 0.142338 BG
paper 46 398 47 400 0.151946 0.129044 BG
paper 416 419 432 432 0.151938 0.628960 BG
paper 555 376 559 380 0.151349 0.048520 BG
paper 502 399 514 405 0.15033 0.358963 BG
paper 557 382 559 383 0.149232 0.041987 BG
paper 564 392 584 397 0.14831 0.074806 BG
paper 454 424 467 440 0.147998 0.361111 BG
paper 577 389 590 393 0.146953 0.208477 BG
paper 32 380 38 382 0.146817 0.119457 BG
paper 510 370 518 371 0.14669 0.337934 BG
paper 190 398 191 400 0.146275 0.151141 BG
paper 190 121 194 126 0.144408 0.204490 BG
paper 463 437 467 440 0.143835 0.444424 BG
paper 409 431 419 435 0.143606 0.759194 BG
paper 33 409 46 435 0.142981 0.273284 BG
paper 307 429 317 440 0.141912 0.191098 BG
paper 577 302 582 303 0.141588 0.184606 BG
paper 208 401 209 404 0.141237 0.166699 BG
paper 557 383 573 388 0.141235 0.037106 BG
paper 509 430 518 440 0.139581 0.351018 BG
paper 561 375 590 390 0.13906 0.082915 BG
paper 345 378 347 381 0.13797 0.312264 BG
paper 584 289 590 303 0.137385 0.194013 BG
paper 306 399 308 400 0.136453 0.155133 BG
paper 561 281 587 303 0.135744 0.131053 BG
paper 254 437 256 440 0.135032 0.253121 BG
paper 587 192 590 197 0.134999 0.199738 BG
paper 583 97 590 99 0.133244 0.236144 BG
paper 25 218 46 227 0.133099 0.365936 BG
paper 97 278 100 284 0.132457 0.223389 BG
paper 586 66 590 78 0.132039 0.207890 BG
paper 380 126 403 153 0.132017 0.338178 BG
paper 581 99 590 102 0.131456 0.338783 BG
paper 278 27 286 31 0.130346 0.145461 BG
paper 247 438 252 440 0.130299 0.251848 BG
paper 472 440 475 440 0.130162 0.424397 BG
paper 581 102 590 111 0.130098 0.341956 BG
paper 410 431 436 440 0.129927 0.724810 BG
paper 365 372 372 383 0.129913 0.362177 BG
paper 507 1 559 31 0.129234 0.180253 BG
paper 319 398 320 400 0.128602 0.151729 BG
paper 435 427 453 433 0.128556 0.581009 BG
paper 472 428 475 429 0.12691 0.432590 BG
paper 69 421 79 440 0.125005 0.305771 BG
paper 404 425 409 429 0.124328 0.397636 BG
paper 9 429 14 434 0.123301 0.274058 BG
paper 402 398 438 440 0.123084 0.421867 BG
paper 545 272 560 278 0.122013 0.473545 BG
paper 565 260 590 269 0.121692 0.307014 BG
paper 323 398 325 401 0.121363 0.156571 BG
paper 495 408 498 408 0.120041 0.425726 BG
paper 560 268 590 288 0.119514 0.247430 BG
paper 10 368 14 370 0.117642 0.387267 BG
paper 1 336 17 354 0.116991 0.312822 BG
paper 453 427 455 428 0.116199 0.403352 BG
paper 467 429 478 440 0.115472 0.421203 BG
paper 1 367 15 380 0.115438 0.357727 BG
paper 16 431 17 434 0.11448 0.299178 BG
paper 99 242 107 248 0.113431 0.562440 BG
paper 439 435 454 440 0.112279 0.628502 BG
paper 160 437 161 440 0.111799 0.243435 BG
paper 545 370 550 374 0.110453 0.151959 BG
paper 196 122 205 125 0.109895 0.270541 BG
paper 512 384 520 392 0.109279 0.420393 BG
paper 44 263 49 266 0.109268 0.357058 BG
paper 507 406 517 414 0.108713 0.310557 BG
paper 38 428 44 440 0.108361 0.352786 BG
paper 15 222 30 238 0.106655 0.277490 BG
paper 318 433 323 440 0.106647 0.152211 BG
paper 546 382 547 383 0.106486 0.144224 BG
paper 512 381 522 382 0.106424 0.431941 BG
paper 486 407 509 427 0.105262 0.246301 BG
paper 338 440 340 440 0.103684 0.219751 BG
paper 436 433 441 440 0.102573 0.675503 BG
paper 546 275 552 277 0.100483 0.585503 BG
box 468 408 470 421 0.718926 0.232897 BG
box 452 393 516 430 0.696719 0.130936 BG
box 475 407 479 416 0.677327 0.291449 BG
box 455 407 469 430 0.61829 0.286194 BG
box 485 406 508 428 0.540486 0.246301 BG
box 480 407 482 416 0.530875 0.397713 BG
box 478 407 487 429 0.521947 0.364627 BG
box 449 416 454 422 0.518285 0.450181 BG
box 401 393 475 440 0.491237 0.257936 BG
box 471 401 475 408 0.438536 0.509220 BG
box 454 426 455 429 0.437877 0.403352 BG
box 453 394 475 409 0.406497 0.561151 BG
box 435 416 455 434 0.374888 0.550474 BG
box 404 425 409 428 0.350279 0.397636 BG
box 450 408 454 417 0.345664 0.641013 BG
box 444 415 446 420 0.342213 0.621203 BG
box 453 423 456 440 0.326067 0.338763 BG
box 469 424 474 427 0.309236 0.507569 BG
box 393 424 403 428 0.300532 0.284890 BG
box 454 423 466 440 0.290974 0.361111 BG
box 471 427 475 429 0.29043 0.432590 BG
box 494 407 497 409 0.286711 0.425726 BG
box 497 406 501 414 0.279304 0.336084 BG
box 407 410 447 432 0.272506 0.609730 BG
box 473 420 481 429 0.269705 0.548094 BG
box 456 424 517 440 0.258989 0.180276 BG
box 444 431 453 435 0.24479 0.509934 BG
box 457 439 461 440 0.237062 0.366694 BG
box 253 426 257 436 0.236194 0.240898 BG
box 240 424 243 430 0.223453 0.268958 BG
box 402 397 409 440 0.222102 0.508047 BG
box 409 425 416 431 0.218849 0.510791 BG
box 62 422 64 425 0.217805 0.381069 BG
box 301 420 310 432 0.216633 0.276657 BG
box 301 428 307 440 0.213625 0.193893 BG
box 243 422 245 423 0.21306 0.354930 BG
box 466 428 478 440 0.209841 0.421203 BG
box 574 396 578 398 0.208829 0.198496 BG
box 307 421 312 428 0.208055 0.367567 BG
box 504 372 510 374 0.206519 0.234007 BG
box 307 428 317 440 0.205171 0.191098 BG
box 498 398 501 407 0.20463 0.378305 BG
box 306 434 307 438 0.199323 0.227404 BG
box 34 416 40 419 0.197433 0.267162 BG
box 462 436 467 440 0.196419 0.444424 BG
box 503 421 506 427 0.195304 0.273344 BG
box 471 439 475 440 0.193331 0.424397 BG
box 32 405 33 409 0.193248 0.189105 BG
box 43 409 48 415 0.193019 0.212460 BG
box 243 415 254 439 0.190697 0.206257 BG
box 456 429 464 430 0.189888 0.522895 BG
box 416 419 431 432 0.185284 0.628960 BG
box 176 417 178 423 0.183363 0.222401 BG
box 564 296 577 302 0.182346 0.080369 BG
box 254 437 256 440 0.182296 0.253121 BG
box 247 438 252 440 0.181487 0.251848 BG
box 63 411 73 423 0.181406 0.278128 BG
box 559 279 562 285 0.181334 0.186446 BG
box 453 398 461 409 0.180557 0.800303 BG
box 338 440 340 440 0.178553 0.219751 BG
box 405 436 409 440 0.178004 0.501137 BG
box 68 421 79 440 0.176598 0.305771 BG
box 412 418 421 423 0.175396 0.701937 BG
box 573 388 575 391 0.171747 0.171205 BG
box 500 406 501 408 0.171466 0.221444 BG
box 318 433 323 440 0.17091 0.152211 BG
box 461 431 467 438 0.167861 0.528845 BG
box 304 1 319 31 0.166873 0.087511 BG
box 72 415 77 417 0.164747 0.268837 BG
box 120 1 126 16 0.163219 0.282484 BG
box 438 435 453 440 0.163166 0.628502 BG
box 78 416 81 418 0.161718 0.264752 BG
box 501 358 509 368 0.159168 0.316534 BG
box 32 408 47 435 0.158455 0.273284 BG
box 43 263 48 267 0.15498 0.357058 BG
box 501 399 505 402 0.154574 0.225252 BG
box 159 436 161 440 0.153989 0.243435 BG
box 506 1 560 31 0.153504 0.180253 BG
box 277 26 286 30 0.152982 0.145461 BG
box 561 273 565 278 0.151956 0.240199 BG
box 404 417 409 424 0.151778 0.753969 BG
box 439 407 443 414 0.150776 0.836657 BG
box 446 408 450 416 0.148165 0.835357 BG
box 17 1 26 16 0.147773 0.284859 BG
box 404 433 409 434 0.147372 0.636555 BG
box 368 3 375 12 0.147247 0.300902 BG
box 9 429 14 434 0.145927 0.274058 BG
box 249 381 250 384 0.145643 0.169159 BG
box 37 428 44 440 0.145167 0.352786 BG
box 508 277 534 286 0.143374 0.551876 BG
box 409 438 417 440 0.143062 0.551088 BG
box 498 398 513 407 0.142306 0.486689 BG
box 241 381 242 385 0.14201 0.144850 BG
box 498 428 511 440 0.141449 0.275693 BG
box 435 433 440 440 0.141173 0.675503 BG
box 482 52 484 56 0.141011 0.173222 BG
box 65 411 68 414 0.140896 0.218694 BG
box 558 293 563 296 0.140848 0.110795 BG
box 251 382 259 393 0.139801 0.162915 BG
box 407 399 422 420 0.139513 0.803102 BG
box 76 412 79 415 0.136739 0.223147 BG
box 511 372 519 375 0.135875 0.326830 BG
box 15 431 17 434 0.134978 0.299178 BG
box 177 414 185 432 0.134768 0.154660 BG
box 426 412 436 419 0.134098 0.812957 BG
box 302 413 308 424 0.133846 0.311467 BG
box 496 428 501 434 0.132854 0.396645 BG
box 497 376 502 381 0.132328 0.337433 BG
box 390 412 403 423 0.132327 0.606815 BG
box 501 0 507 16 0.132044 0.326478 BG
box 366 81 370 89 0.132039 0.147639 BG
box 500 428 502 435 0.130821 0.305718 BG
box 504 415 517 428 0.126706 0.297467 BG
box 475 47 481 54 0.125573 0.158600 BG
box 47 264 50 270 0.124918 0.540049 BG
box 544 16 559 30 0.124504 0.110440 BG
box 64 47 78 54 0.123492 0.143407 BG
box 509 430 518 440 0.122944 0.351018 BG
box 565 376 576 381 0.122783 0.050521 BG
box 510 438 511 440 0.121306 0.396433 BG
box 20 223 24 226 0.120874 0.191749 BG
box 255 382 266 391 0.12013 0.149912 BG
box 436 414 438 419 0.11956 0.848602 BG
box 559 368 561 372 0.119227 0.047542 BG
box 448 404 453 408 0.116628 0.861971 BG
box 131 84 143 94 0.116588 0.108040 BG
box 561 280 587 302 0.116552 0.131053 BG
box 507 405 516 414 0.115322 0.310557 BG
box 487 428 498 440 0.115139 0.464902 BG
box 560 374 565 381 0.113858 0.048075 BG
box 510 369 519 371 0.112707 0.337934 BG
box 312 413 314 414 0.110961 0.270186 BG
box 576 389 590 393 0.109774 0.208477 BG
box 79 435 80 440 0.108848 0.468864 BG
box 1 433 5 440 0.108663 0.300414 BG
box 550 132 557 136 0.108241 0.066924 BG
box 300 413 302 415 0.1081 0.270807 BG
box 558 300 569 303 0.107779 0.053578 BG
box 32 380 39 382 0.107593 0.119457 BG
box 467 37 475 46 0.107512 0.176931 BG
box 512 438 518 440 0.107012 0.297838 BG
box 518 393 589 440 0.106794 0.040731 BG
box 157 407 166 416 0.106627 0.213069 BG
box 437 95 448 113 0.106581 0.207554 BG
box 476 37 481 46 0.106492 0.161315 BG
box 429 47 431 49 0.106398 0.148068 BG
box 506 396 512 398 0.105381 0.370557 BG
box 467 31 468 35 0.104948 0.176316 BG
box 560 267 590 288 0.104229 0.247430 BG
box 391 44 399 64 0.103863 0.088000 BG
box 432 428 434 432 0.103654 0.816389 BG
box 577 301 582 302 0.103583 0.184606 BG
box 557 383 574 388 0.103551 0.037106 BG
box 512 381 522 383 0.102968 0.431941 BG
box 480 36 495 47 0.10258 0.141251 BG
box 513 428 518 432 0.101446 0.337582 BG
box 412 411 425 421 0.101375 0.848448 BG
box 379 126 404 153 0.101366 0.338178 BG
box 432 405 434 409 0.101298 0.883561 BG
box 418 403 430 412 0.101203 0.876706 BG
box 565 259 590 268 0.100506 0.307014 BG
box 426 417 429 420 0.100371 0.814131 BG
box 464 31 466 36 0.100354 0.179341 BG
box 557 382 560 383 0.100279 0.041987 BG
lamp 460 355 466 366 0.132209 0.763759 BG
lamp 451 356 455 364 0.118403 0.837798 BG
lamp 160 340 170 351 0.111353 0.275041 BG
lamp 404 356 407 362 0.108772 0.820662 BG
lamp 162 338 168 345 0.105474 0.201170 BG
lamp 152 336 158 341 0.102361 0.148861 BG
garbage_bin 499 276 590 434 0.58325 0.143056 BG
garbage_bin 534 396 543 399 0.472436 0.324541 BG
garbage_bin 515 408 525 410 0.470347 0.337955 BG
garbage_bin 517 414 525 421 0.462411 0.298682 BG
garbage_bin 514 404 525 406 0.449139 0.361258 BG
garbage_bin 540 395 543 396 0.403496 0.239523 BG
garbage_bin 526 398 530 399 0.388009 0.420097 BG
garbage_bin 527 384 541 395 0.362326 0.439660 BG
garbage_bin 543 385 572 396 0.362014 0.034363 BG
garbage_bin 525 362 562 383 0.339684 0.126813 BG
garbage_bin 539 386 542 394 0.323571 0.272181 BG
garbage_bin 521 398 524 399 0.304894 0.405190 BG
garbage_bin 516 394 590 440 0.26247 0.040731 BG
garbage_bin 520 389 528 397 0.246687 0.505310 BG
garbage_bin 518 425 527 430 0.223219 0.331826 BG
garbage_bin 545 382 547 383 0.221827 0.144224 BG
garbage_bin 544 16 559 31 0.2217 0.110440 BG
garbage_bin 545 370 550 374 0.206359 0.151959 BG
garbage_bin 557 300 569 304 0.20545 0.053578 BG
garbage_bin 556 383 574 389 0.204245 0.037106 BG
garbage_bin 563 391 585 397 0.202792 0.074806 BG
garbage_bin 563 296 577 303 0.195538 0.080369 BG
garbage_bin 564 376 576 382 0.194525 0.050521 BG
garbage_bin 181 415 183 416 0.194519 0.187011 BG
garbage_bin 561 374 590 390 0.190122 0.082915 BG
garbage_bin 554 368 559 373 0.183592 0.045464 BG
garbage_bin 75 404 78 406 0.183167 0.192154 BG
garbage_bin 65 403 71 412 0.182375 0.183817 BG
garbage_bin 554 376 560 381 0.181922 0.048520 BG
garbage_bin 514 400 521 401 0.181354 0.389364 BG
garbage_bin 160 405 168 415 0.17881 0.213433 BG
garbage_bin 556 382 560 384 0.178275 0.041987 BG
garbage_bin 506 406 517 414 0.176253 0.310557 BG
garbage_bin 203 400 208 406 0.174122 0.193519 BG
garbage_bin 60 403 68 411 0.173823 0.181901 BG
garbage_bin 558 368 561 373 0.17372 0.047542 BG
garbage_bin 418 18 419 31 0.173362 0.179756 BG
garbage_bin 559 374 565 382 0.173215 0.048075 BG
garbage_bin 534 380 545 383 0.172216 0.605262 BG
garbage_bin 306 400 312 413 0.171695 0.236075 BG
garbage_bin 305 404 308 409 0.170734 0.230230 BG
garbage_bin 163 8 176 32 0.169402 0.182898 BG
garbage_bin 79 387 83 399 0.16909 0.122539 BG
garbage_bin 550 132 557 137 0.168855 0.066924 BG
garbage_bin 144 379 146 382 0.166451 0.068056 BG
garbage_bin 277 27 285 31 0.163916 0.145461 BG
garbage_bin 154 398 163 406 0.16381 0.200028 BG
garbage_bin 75 412 79 415 0.163107 0.223147 BG
garbage_bin 311 413 314 414 0.16259 0.270186 BG
garbage_bin 131 84 143 95 0.162566 0.108040 BG
garbage_bin 64 411 68 414 0.161594 0.218694 BG
garbage_bin 299 413 302 415 0.16006 0.270807 BG
garbage_bin 365 81 369 90 0.159679 0.147639 BG
garbage_bin 467 32 469 36 0.158968 0.176316 BG
garbage_bin 237 390 239 394 0.158906 0.122151 BG
garbage_bin 510 377 525 381 0.15803 0.470058 BG
garbage_bin 176 415 185 432 0.157655 0.154660 BG
garbage_bin 464 32 467 37 0.157476 0.179341 BG
garbage_bin 546 368 557 374 0.157062 0.075567 BG
garbage_bin 131 376 133 378 0.156677 0.072395 BG
garbage_bin 147 373 153 379 0.154305 0.076392 BG
garbage_bin 80 400 84 403 0.153047 0.142338 BG
garbage_bin 480 36 495 48 0.152399 0.141251 BG
garbage_bin 145 366 156 396 0.152119 0.115530 BG
garbage_bin 553 372 555 374 0.151961 0.085291 BG
garbage_bin 558 279 562 285 0.151887 0.186446 BG
garbage_bin 146 368 150 374 0.151536 0.079166 BG
garbage_bin 99 381 118 400 0.151414 0.103641 BG
garbage_bin 31 405 33 409 0.151227 0.189105 BG
garbage_bin 576 389 590 394 0.151154 0.208477 BG
garbage_bin 76 400 79 404 0.150865 0.135104 BG
garbage_bin 501 399 514 405 0.150501 0.358963 BG
garbage_bin 549 381 556 386 0.14994 0.078648 BG
garbage_bin 502 416 518 428 0.148975 0.297467 BG
garbage_bin 66 400 71 403 0.148755 0.131032 BG
garbage_bin 111 371 112 375 0.148662 0.074421 BG
garbage_bin 476 37 481 47 0.147804 0.161315 BG
garbage_bin 391 44 399 65 0.147545 0.088000 BG
garbage_bin 153 392 162 398 0.146604 0.126124 BG
garbage_bin 521 381 533 388 0.145766 0.630117 BG
garbage_bin 146 379 154 383 0.145368 0.096139 BG
garbage_bin 151 369 153 373 0.144998 0.090360 BG
garbage_bin 467 37 475 47 0.144283 0.176931 BG
garbage_bin 572 388 576 392 0.14419 0.171205 BG
garbage_bin 244 385 255 403 0.14381 0.078286 BG
garbage_bin 561 280 587 303 0.143754 0.131053 BG
garbage_bin 153 387 155 394 0.143638 0.121405 BG
garbage_bin 126 378 140 384 0.143321 0.100712 BG
garbage_bin 42 409 48 415 0.141267 0.212460 BG
garbage_bin 32 380 39 383 0.141163 0.119457 BG
garbage_bin 556 391 558 395 0.141048 0.068705 BG
garbage_bin 546 384 550 387 0.140839 0.077078 BG
garbage_bin 557 293 564 296 0.140427 0.110795 BG
garbage_bin 98 278 100 285 0.139723 0.223389 BG
garbage_bin 154 383 157 386 0.139474 0.101483 BG
garbage_bin 234 384 241 392 0.138984 0.085333 BG
garbage_bin 64 47 79 55 0.138913 0.143407 BG
garbage_bin 560 273 564 278 0.137336 0.240199 BG
garbage_bin 206 390 209 394 0.136849 0.158501 BG
garbage_bin 143 383 148 388 0.13595 0.109224 BG
garbage_bin 512 429 519 432 0.13595 0.337582 BG
garbage_bin 573 396 578 399 0.135583 0.198496 BG
garbage_bin 255 390 263 399 0.135431 0.073145 BG
garbage_bin 263 389 268 394 0.134789 0.075952 BG
garbage_bin 266 384 288 401 0.13458 0.092399 BG
garbage_bin 160 398 163 400 0.13453 0.146474 BG
garbage_bin 239 387 242 392 0.132374 0.089309 BG
garbage_bin 511 384 521 392 0.130599 0.420393 BG
garbage_bin 191 398 192 401 0.129868 0.151141 BG
garbage_bin 192 386 198 396 0.129164 0.158748 BG
garbage_bin 511 381 523 382 0.12788 0.431941 BG
garbage_bin 509 370 519 371 0.127715 0.337934 BG
garbage_bin 208 401 210 405 0.126667 0.166699 BG
garbage_bin 475 47 481 55 0.125793 0.158600 BG
garbage_bin 154 399 157 402 0.12529 0.144996 BG
garbage_bin 307 399 308 401 0.122468 0.155133 BG
garbage_bin 19 223 24 226 0.121823 0.191749 BG
garbage_bin 46 398 48 400 0.121251 0.129044 BG
garbage_bin 319 398 320 400 0.120994 0.151729 BG
garbage_bin 243 388 245 391 0.120918 0.084612 BG
garbage_bin 437 95 448 114 0.120893 0.207554 BG
garbage_bin 111 387 115 392 0.120046 0.110408 BG
garbage_bin 576 301 583 303 0.120024 0.184606 BG
garbage_bin 482 52 483 57 0.119123 0.173222 BG
garbage_bin 379 126 404 153 0.118583 0.338178 BG
garbage_bin 144 395 148 396 0.118282 0.150735 BG
garbage_bin 499 352 509 368 0.117111 0.356877 BG
garbage_bin 323 398 325 401 0.115055 0.156571 BG
garbage_bin 77 416 81 418 0.114615 0.264752 BG
garbage_bin 173 371 176 376 0.112469 0.175941 BG
garbage_bin 71 415 77 417 0.112341 0.268837 BG
garbage_bin 429 47 430 50 0.111241 0.148068 BG
garbage_bin 25 217 45 227 0.110198 0.365936 BG
garbage_bin 306 414 316 428 0.110147 0.323913 BG
garbage_bin 301 413 308 424 0.110077 0.311467 BG
garbage_bin 241 381 242 385 0.109663 0.144850 BG
garbage_bin 190 384 193 388 0.108454 0.148646 BG
garbage_bin 34 416 40 419 0.106941 0.267162 BG
garbage_bin 258 384 261 390 0.106785 0.087895 BG
garbage_bin 528 381 534 382 0.106516 0.781578 BG
garbage_bin 63 411 73 423 0.104933 0.278128 BG
garbage_bin 239 416 254 439 0.103592 0.198191 BG
garbage_bin 510 373 519 376 0.103024 0.326830 BG
garbage_bin 177 366 182 377 0.102684 0.214026 BG
garbage_bin 305 435 308 438 0.10098 0.227404 BG
