bed 33 223 713 507 0.161411 0.726996 floor
paper 720 154 729 157 0.114097 0.183299 BG
paper 513 240 519 246 0.11172 0.768134 BG
paper 560 314 637 377 0.109094 0.797814 BG
paper 494 205 497 207 0.109049 0.786201 BG
paper 475 191 507 206 0.108708 0.804078 BG
paper 263 507 270 529 0.108311 0.347556 BG
paper 368 0 458 100 0.105024 0.816614 BG
paper 540 325 545 331 0.105013 0.783174 BG
paper 610 475 615 481 0.104397 0.750732 BG
paper 481 335 496 355 0.103946 0.675192 BG
paper 685 433 709 453 0.10298 0.686621 BG
box 636 501 643 507 0.1515 0.324641 BG
box 271 482 275 494 0.136316 0.352139 BG
box 689 513 699 529 0.130102 0.194001 BG
box 1 0 245 52 0.128984 0.160034 BG
box 229 0 309 36 0.127994 0.201973 BG
box 661 527 663 529 0.127758 0.135034 BG
box 663 494 675 502 0.127535 0.556212 BG
box 623 501 642 529 0.123864 0.143062 BG
box 659 525 661 526 0.120562 0.358686 BG
box 0 1 93 5 0.116506 0.164731 BG
box 640 512 654 529 0.115237 0.127810 BG
box 633 496 640 506 0.114372 0.423096 BG
box 640 504 649 515 0.114155 0.310419 BG
box 81 234 110 243 0.110228 0.251527 BG
box 196 244 200 245 0.109236 0.193833 BG
box 82 51 85 54 0.109117 0.198183 BG
box 164 264 169 270 0.107662 0.178175 BG
box 52 137 63 144 0.105815 0.211353 BG
box 711 506 729 529 0.105797 0.088920 BG
box 59 166 69 170 0.104492 0.235004 BG
box 720 153 729 157 0.104373 0.183299 BG
box 77 209 81 211 0.103548 0.242007 BG
box 0 30 321 95 0.1028 0.207121 BG
box 200 76 221 88 0.102789 0.185076 BG
box 626 489 649 515 0.102788 0.330816 BG
box 303 0 345 30 0.102024 0.264441 BG
box 71 169 75 174 0.100812 0.240237 BG
box 158 34 164 41 0.100514 0.199709 BG
toilet 296 170 463 433 0.766711 0.221425 toilet
sink 266 173 431 312 0.183861 0.770420 BG
bathtub 367 120 729 514 0.159457 0.761727 BG
garbage_bin 405 189 413 192 0.433998 0.536485 BG
garbage_bin 390 189 413 195 0.30719 0.672681 BG
garbage_bin 344 381 355 408 0.153753 0.780936 BG
garbage_bin 17 289 21 299 0.148003 0.167781 BG
garbage_bin 720 153 729 157 0.13359 0.183299 BG
garbage_bin 723 461 729 466 0.127065 0.206756 BG
garbage_bin 711 507 729 529 0.106486 0.088920 BG
