chair 127 0 424 527 0.374716 0.335554 sofa_chair
box 464 0 539 10 0.377907 0.284046 BG
box 507 0 518 4 0.234834 0.704528 BG
box 319 494 340 511 0.216067 0.384383 BG
box 384 303 401 320 0.211228 0.723062 BG
box 139 497 148 511 0.209794 0.365238 BG
box 175 491 176 494 0.20134 0.419527 BG
box 401 314 410 323 0.198687 0.681350 BG
box 137 498 143 501 0.195859 0.418929 BG
box 91 495 96 500 0.177546 0.466623 BG
box 61 510 67 515 0.176642 0.434123 BG
box 59 495 64 501 0.172594 0.479265 BG
box 367 506 372 510 0.142154 0.411860 BG
box 292 509 327 530 0.141906 0.323582 BG
box 290 490 300 495 0.140735 0.568370 BG
box 421 526 430 530 0.135811 0.191696 BG
box 525 495 528 499 0.124851 0.398461 BG
box 648 138 654 145 0.122617 0.215914 BG
box 569 499 578 513 0.120111 0.313817 BG
box 364 488 416 530 0.119614 0.234565 BG
box 516 15 520 17 0.116411 0.621338 BG
box 485 4 500 9 0.114014 0.617888 BG
box 1 512 16 530 0.113103 0.276036 BG
box 6 511 15 515 0.109577 0.493472 BG
box 494 0 507 5 0.107398 0.823436 BG
box 335 504 386 530 0.106698 0.268536 BG
box 613 401 624 407 0.103648 0.185250 BG
box 319 511 335 530 0.100359 0.388865 BG
box 326 486 333 494 0.100205 0.583786 BG
toilet 275 0 607 519 0.148199 0.612455 BG
garbage_bin 415 503 417 505 0.315606 0.338261 BG
garbage_bin 327 184 335 192 0.247871 0.237895 BG
garbage_bin 442 426 502 508 0.242106 0.421732 BG
garbage_bin 647 139 654 145 0.166452 0.215914 BG
garbage_bin 175 176 182 183 0.160396 0.041581 BG
garbage_bin 432 369 443 387 0.153949 0.387022 BG
garbage_bin 353 128 356 131 0.144873 0.252510 BG
garbage_bin 341 111 346 115 0.144393 0.081181 BG
garbage_bin 361 490 419 530 0.138553 0.234565 BG
garbage_bin 435 381 446 386 0.13586 0.359454 BG
garbage_bin 72 206 76 210 0.135234 0.093199 BG
garbage_bin 51 255 59 262 0.132602 0.353145 BG
garbage_bin 10 462 82 530 0.128288 0.182361 BG
garbage_bin 625 405 630 409 0.121612 0.147642 BG
garbage_bin 552 479 562 489 0.119632 0.364273 BG
garbage_bin 183 176 193 191 0.11934 0.049602 BG
garbage_bin 82 240 87 245 0.119222 0.331284 BG
garbage_bin 54 158 59 160 0.113346 0.130577 BG
garbage_bin 220 129 220 133 0.109276 0.094721 BG
garbage_bin 274 143 278 147 0.107912 0.093011 BG
garbage_bin 524 495 528 500 0.107228 0.398461 BG
garbage_bin 206 191 208 200 0.105183 0.065875 BG
garbage_bin 218 174 224 180 0.103702 0.081677 BG
garbage_bin 221 174 223 177 0.102046 0.095433 BG
