bed 353 231 550 421 0.171095 0.745752 floor
paper 152 398 158 405 0.135593 0.589704 BG
paper 304 405 315 426 0.127964 0.350728 BG
paper 433 62 435 62 0.121063 0.557925 BG
box 317 401 318 403 0.615642 0.265071 BG
box 219 357 326 426 0.394086 0.537766 BG
box 241 372 274 426 0.34546 0.610870 BG
box 149 397 153 402 0.2725 0.290890 BG
box 308 373 336 425 0.259588 0.551116 BG
box 0 167 14 186 0.167104 0.582648 BG
box 308 403 317 410 0.162184 0.526624 BG
box 427 53 432 60 0.159881 0.356825 BG
box 223 379 243 425 0.119813 0.659918 BG
box 249 383 306 403 0.116888 0.879011 BG
box 152 398 158 406 0.11674 0.589704 BG
box 325 381 327 390 0.114746 0.831160 BG
box 427 189 434 197 0.114156 0.729018 BG
box 432 62 435 62 0.112392 0.557925 BG
box 214 15 241 18 0.108078 0.843209 BG
whiteboard 27 9 174 121 0.728654 0.215896 BG
person 335 63 359 77 0.253778 0.712527 BG
person 358 63 366 70 0.13202 0.808190 BG
person 343 75 358 82 0.110542 0.855369 BG
person 2 101 13 117 0.109092 0.833200 BG
lamp 369 105 372 116 0.471855 0.515565 BG
lamp 303 76 354 106 0.468329 0.517113 BG
lamp 310 78 322 92 0.441596 0.546054 BG
lamp 373 104 375 116 0.388252 0.584530 BG
lamp 359 104 363 106 0.319318 0.673367 BG
lamp 357 97 369 104 0.266307 0.728118 BG
lamp 358 102 376 128 0.241474 0.746430 BG
lamp 377 106 390 110 0.218931 0.728316 BG
lamp 349 103 356 108 0.216163 0.778879 BG
lamp 300 82 321 106 0.201026 0.792475 BG
lamp 302 90 361 142 0.173305 0.801432 BG
lamp 321 77 338 99 0.150849 0.830596 BG
lamp 352 66 384 141 0.118423 0.733965 BG
lamp 257 160 303 211 0.108473 0.838901 BG
