sofa 178 202 659 515 0.12187 0.721177 floor
paper 2 461 130 530 0.155664 0.292641 BG
paper 303 480 319 490 0.155528 0.474396 BG
paper 527 465 546 516 0.155161 0.475055 BG
paper 321 515 322 518 0.153659 0.402611 BG
paper 512 495 561 530 0.15353 0.287371 BG
paper 306 488 316 498 0.153327 0.478898 BG
paper 288 480 295 496 0.153257 0.510265 BG
paper 413 514 433 530 0.152272 0.252611 BG
paper 590 491 594 493 0.151358 0.493895 BG
paper 434 342 449 346 0.150674 0.420033 BG
paper 368 504 382 526 0.148554 0.392049 BG
paper 3 412 58 442 0.148478 0.487830 BG
paper 353 461 368 468 0.148333 0.367914 BG
paper 212 472 233 502 0.14608 0.570433 BG
paper 381 506 387 525 0.144806 0.389281 BG
paper 256 416 275 426 0.144596 0.607268 BG
paper 429 386 446 407 0.143917 0.304884 BG
paper 342 389 406 506 0.14355 0.621787 BG
paper 387 512 406 530 0.143523 0.230467 BG
paper 397 399 416 455 0.14212 0.428967 BG
paper 437 386 446 394 0.141485 0.292870 BG
paper 511 33 615 272 0.141457 0.646888 BG
paper 195 512 202 518 0.141262 0.399035 BG
paper 294 473 308 496 0.139094 0.554559 BG
paper 249 417 255 425 0.138495 0.618901 BG
paper 344 465 347 467 0.13835 0.375522 BG
paper 194 341 290 397 0.137757 0.515650 BG
paper 335 512 358 530 0.137429 0.239075 BG
paper 559 240 564 242 0.136445 0.734563 BG
paper 516 474 531 496 0.135468 0.618010 BG
paper 385 384 391 392 0.135061 0.608184 BG
paper 302 413 303 415 0.134914 0.563351 BG
paper 200 512 218 523 0.134685 0.411693 BG
paper 169 485 175 490 0.132511 0.581734 BG
paper 206 475 216 496 0.13208 0.528240 BG
paper 477 511 517 530 0.130439 0.277214 BG
paper 458 400 473 408 0.129444 0.435428 BG
paper 374 431 529 530 0.129379 0.569619 BG
paper 415 400 431 416 0.128927 0.305377 BG
paper 378 431 407 477 0.128387 0.480030 BG
paper 320 416 329 428 0.127965 0.565049 BG
paper 152 485 175 498 0.12783 0.584785 BG
paper 432 399 441 407 0.127072 0.314218 BG
paper 435 346 446 350 0.126538 0.436888 BG
paper 432 407 448 417 0.126511 0.409957 BG
paper 392 370 435 455 0.126068 0.529987 BG
paper 252 376 282 426 0.124578 0.651797 BG
paper 543 472 559 497 0.124461 0.684640 BG
paper 122 463 175 526 0.123659 0.595364 BG
paper 264 482 272 489 0.123478 0.593381 BG
paper 231 481 235 502 0.12272 0.528442 BG
paper 436 355 463 386 0.121539 0.377794 BG
paper 328 417 332 429 0.121033 0.612554 BG
paper 195 504 237 530 0.11987 0.275580 BG
paper 427 486 441 493 0.119193 0.651953 BG
paper 444 368 448 374 0.118911 0.448663 BG
paper 96 505 115 530 0.118211 0.261555 BG
paper 325 429 331 434 0.117909 0.627520 BG
paper 359 451 374 456 0.11739 0.682957 BG
paper 435 370 500 414 0.116856 0.465224 BG
paper 277 385 292 424 0.116221 0.632181 BG
paper 296 294 460 530 0.115827 0.618839 BG
paper 291 400 303 418 0.115007 0.627047 BG
paper 238 341 328 452 0.114857 0.545938 BG
paper 292 414 297 426 0.114803 0.639055 BG
paper 529 127 535 138 0.114055 0.580667 BG
paper 410 482 415 489 0.113925 0.677628 BG
paper 233 512 256 530 0.113884 0.276277 BG
paper 127 384 337 530 0.113861 0.623576 BG
paper 279 334 401 441 0.112612 0.623930 BG
paper 400 399 404 403 0.112419 0.483873 BG
paper 416 486 424 493 0.111222 0.678794 BG
paper 429 406 433 408 0.110759 0.358619 BG
paper 448 355 463 371 0.110234 0.433077 BG
paper 243 427 247 431 0.10953 0.659772 BG
paper 390 359 397 367 0.106129 0.840051 BG
paper 208 341 238 364 0.105699 0.678266 BG
paper 336 400 361 414 0.105621 0.637957 BG
paper 391 440 423 482 0.105568 0.573731 BG
paper 291 380 379 411 0.104559 0.606107 BG
paper 410 103 431 109 0.103803 0.564080 BG
paper 320 353 342 383 0.102989 0.527653 BG
paper 41 417 59 442 0.102036 0.617397 BG
paper 303 415 331 439 0.101988 0.672486 BG
paper 334 352 376 383 0.101592 0.697895 BG
paper 324 434 327 436 0.100888 0.704959 BG
paper 326 436 332 444 0.100697 0.711068 BG
paper 334 406 340 411 0.100448 0.652432 BG
paper 269 386 305 447 0.10013 0.674493 BG
paper 182 464 203 472 0.100064 0.495916 BG
towel 541 0 624 65 0.139205 0.366111 BG
towel 574 58 579 69 0.138232 0.241055 BG
towel 426 31 432 34 0.11966 0.196049 BG
towel 544 0 547 6 0.110056 0.755275 BG
towel 530 127 535 139 0.110051 0.580667 BG
towel 494 79 496 84 0.103441 0.597484 BG
towel 531 138 542 147 0.102716 0.631392 BG
box 169 490 175 492 0.183077 0.446177 BG
box 326 505 332 510 0.17821 0.390583 BG
box 516 494 528 514 0.177513 0.424989 BG
box 480 495 504 513 0.175309 0.419218 BG
box 50 495 60 501 0.172911 0.436808 BG
box 485 500 495 508 0.171829 0.425119 BG
box 235 494 274 515 0.168382 0.443127 BG
box 201 491 224 510 0.167494 0.451901 BG
box 304 501 315 508 0.167232 0.415518 BG
box 304 495 316 501 0.164876 0.421047 BG
box 560 499 565 506 0.164633 0.430057 BG
box 93 493 117 508 0.163002 0.457439 BG
box 355 495 366 510 0.159555 0.390511 BG
box 503 494 507 497 0.158465 0.483768 BG
box 576 491 585 494 0.152234 0.456838 BG
box 605 490 679 530 0.146984 0.249149 BG
box 364 495 383 504 0.146899 0.451582 BG
box 590 491 594 493 0.146482 0.493895 BG
box 476 493 565 530 0.140015 0.289264 BG
box 417 513 452 530 0.139792 0.273131 BG
box 405 486 416 511 0.136983 0.492723 BG
box 319 505 345 530 0.135284 0.236979 BG
box 334 511 357 530 0.135125 0.239075 BG
box 445 490 491 530 0.134628 0.305110 BG
box 476 510 516 530 0.130504 0.277214 BG
box 329 493 382 530 0.128853 0.249536 BG
box 303 442 383 530 0.127517 0.256732 BG
box 386 511 432 530 0.127373 0.229086 BG
box 1 510 32 530 0.126145 0.196620 BG
box 237 447 323 530 0.125775 0.260367 BG
box 99 499 161 530 0.124196 0.280420 BG
box 194 439 276 530 0.122216 0.277774 BG
box 194 503 236 530 0.120887 0.275580 BG
box 13 201 197 396 0.120566 0.177631 garbage_bin
box 643 523 653 530 0.118623 0.265931 BG
box 160 192 175 199 0.114969 0.518196 BG
box 232 511 255 530 0.114582 0.276277 BG
box 2 494 79 530 0.114244 0.250660 BG
box 333 497 354 517 0.105278 0.343760 BG
box 662 176 668 189 0.104509 0.209392 BG
box 161 470 236 530 0.103451 0.282830 BG
box 555 456 647 530 0.101339 0.288658 BG
box 439 513 446 521 0.100485 0.419311 BG
sink 0 156 183 397 0.299313 0.153207 garbage_bin
garbage_bin 139 221 197 328 0.95926 0.024142 garbage_bin
garbage_bin 138 135 261 329 0.897861 0.094850 garbage_bin
garbage_bin 146 285 158 330 0.707547 0.234381 BG
garbage_bin 159 131 253 181 0.701567 0.294097 BG
garbage_bin 159 313 164 327 0.384336 0.604524 BG
garbage_bin 151 318 158 326 0.256634 0.736890 BG
garbage_bin 24 140 228 422 0.239176 0.330233 garbage_bin
garbage_bin 252 261 281 294 0.227057 0.694786 BG
garbage_bin 160 192 174 200 0.225353 0.518196 BG
garbage_bin 136 218 196 250 0.172445 0.729218 BG
garbage_bin 248 287 250 296 0.168468 0.754052 BG
garbage_bin 152 132 368 472 0.140067 0.805104 BG
garbage_bin 151 326 159 336 0.139223 0.851319 BG
garbage_bin 190 143 193 147 0.134391 0.861262 BG
garbage_bin 197 303 202 313 0.131274 0.783310 BG
garbage_bin 275 287 283 293 0.127783 0.786617 BG
garbage_bin 302 479 319 490 0.113513 0.474396 BG
garbage_bin 306 487 317 498 0.109593 0.478898 BG
garbage_bin 288 479 295 496 0.10927 0.510265 BG
garbage_bin 662 176 668 188 0.10893 0.209392 BG
garbage_bin 250 287 281 307 0.106341 0.774894 BG
garbage_bin 299 461 352 512 0.101386 0.483516 BG
garbage_bin 344 464 347 467 0.10066 0.375522 BG
