bed 22 56 470 426 0.905348 0.076206 mattress
box 430 404 434 417 0.123858 0.220983 BG
box 553 308 560 318 0.119226 0.451165 BG
box 381 410 391 426 0.116282 0.259402 BG
box 542 417 550 426 0.116006 0.214142 BG
box 556 279 560 281 0.112657 0.289406 BG
box 434 397 438 406 0.105776 0.481048 BG
box 359 408 368 426 0.102476 0.311462 BG
box 405 265 446 319 0.101482 0.860574 BG
box 540 296 542 309 0.100335 0.686559 BG
bag 526 236 560 290 0.244631 0.335305 BG
bag 546 245 549 246 0.198701 0.411953 BG
bag 548 256 554 271 0.191249 0.343500 BG
bag 528 255 544 271 0.190981 0.312837 BG
bag 545 264 549 270 0.163466 0.504535 BG
bag 543 257 549 264 0.16315 0.472339 BG
bag 539 273 544 276 0.154643 0.412335 BG
bag 545 269 548 270 0.141892 0.568981 BG
bag 544 240 560 255 0.134563 0.361479 BG
bag 554 263 560 271 0.129482 0.305176 BG
bag 527 263 535 271 0.119721 0.511703 BG
bag 559 272 560 276 0.118116 0.330008 BG
bag 527 272 543 289 0.113502 0.678487 BG
bag 505 187 560 299 0.104712 0.707393 clothes
bag 543 271 556 288 0.102392 0.572019 BG
bag 532 242 544 256 0.102018 0.657519 BG
bag 532 273 534 275 0.100733 0.532279 BG
garbage_bin 212 377 225 402 0.203667 0.118629 BG
garbage_bin 414 367 420 373 0.189586 0.792657 BG
garbage_bin 205 383 212 393 0.187989 0.124756 BG
garbage_bin 0 400 3 409 0.186802 0.283401 BG
garbage_bin 171 394 177 399 0.180565 0.144173 BG
garbage_bin 210 389 216 402 0.172606 0.151067 BG
garbage_bin 429 404 434 417 0.156916 0.220983 BG
garbage_bin 34 387 44 397 0.142748 0.068123 BG
garbage_bin 555 279 560 281 0.137243 0.289406 BG
garbage_bin 25 366 59 387 0.130534 0.073955 BG
garbage_bin 421 416 428 426 0.11693 0.213209 BG
garbage_bin 555 271 560 278 0.116165 0.345531 BG
garbage_bin 132 117 143 136 0.112256 0.062860 BG
garbage_bin 157 399 161 408 0.108298 0.223538 BG
garbage_bin 223 221 240 237 0.102862 0.114161 BG
