bed 7 211 355 437 0.59235 0.114428 sofa_chair&&sofa_chair
box 454 415 465 421 0.159058 0.533927 BG
box 273 156 284 159 0.156668 0.804648 BG
box 479 83 506 156 0.154658 0.397527 BG
box 236 406 254 439 0.146722 0.416689 BG
box 289 159 331 171 0.142382 0.784106 BG
box 577 76 590 133 0.13765 0.542533 BG
box 247 426 256 440 0.131965 0.319962 BG
box 112 357 121 365 0.128586 0.155779 BG
box 479 144 486 145 0.126883 0.646875 BG
box 223 404 240 432 0.126712 0.453190 BG
box 343 433 349 440 0.122796 0.365774 BG
box 439 304 441 307 0.119724 0.054928 BG
box 387 273 396 279 0.118392 0.219505 BG
box 187 167 212 173 0.113722 0.817095 BG
box 226 321 252 366 0.111845 0.522937 BG
box 1 162 10 173 0.109788 0.611990 BG
box 179 157 182 161 0.108003 0.825314 BG
box 172 139 324 177 0.105809 0.798168 sofa
box 424 253 457 311 0.10407 0.072855 BG
box 566 247 570 253 0.103753 0.191561 BG
box 216 351 220 357 0.102879 0.066732 BG
box 531 43 586 125 0.102338 0.536423 BG
box 571 193 590 254 0.100813 0.134909 BG
whiteboard 8 3 434 156 0.133618 0.819746 BG
sink 359 107 583 346 0.180084 0.284533 sofa_chair
lamp 448 0 449 5 0.167353 0.460402 BG
lamp 294 133 303 139 0.121938 0.728039 BG
bag 76 135 101 159 0.116889 0.857560 BG
bag 57 137 93 181 0.110743 0.875098 BG
garbage_bin 577 294 589 335 0.232159 0.666621 BG
garbage_bin 570 195 590 250 0.20678 0.115254 BG
garbage_bin 582 293 590 317 0.168979 0.490351 BG
garbage_bin 0 327 81 440 0.154382 0.470285 BG
garbage_bin 566 247 570 253 0.15 0.191561 BG
garbage_bin 247 141 346 422 0.146312 0.600717 BG
garbage_bin 581 313 585 316 0.145961 0.691443 BG
garbage_bin 421 224 468 281 0.142292 0.095854 BG
garbage_bin 458 270 466 276 0.132079 0.122740 BG
garbage_bin 491 241 499 255 0.131432 0.060996 BG
garbage_bin 424 252 457 312 0.126088 0.072855 BG
garbage_bin 215 351 220 358 0.119521 0.066732 BG
garbage_bin 569 246 582 254 0.118387 0.244493 BG
garbage_bin 281 70 288 84 0.116606 0.079230 BG
garbage_bin 552 381 564 403 0.112522 0.567717 BG
garbage_bin 221 406 240 432 0.109477 0.453190 BG
garbage_bin 495 242 500 245 0.107715 0.069427 BG
garbage_bin 234 408 254 439 0.101229 0.416689 BG
garbage_bin 421 250 427 253 0.10109 0.124213 BG
