table 70 180 558 430 0.12049 0.428773 floor
paper 253 58 259 64 0.100619 0.773606 BG
box 332 399 343 402 0.536108 0.461585 BG
box 333 381 358 400 0.23958 0.753545 BG
box 196 47 202 55 0.218147 0.343059 BG
box 53 172 70 192 0.206407 0.492500 BG
box 331 385 335 399 0.193819 0.804528 BG
box 574 140 578 142 0.170919 0.563077 BG
box 72 415 78 418 0.162878 0.200777 BG
box 218 10 227 17 0.155187 0.667410 BG
box 1 183 6 204 0.153097 0.610454 BG
box 205 17 217 65 0.14937 0.531542 BG
box 40 282 164 436 0.148355 0.348810 BG
box 13 181 24 191 0.146814 0.528128 BG
box 565 135 578 144 0.146337 0.693227 BG
box 58 200 65 202 0.140994 0.829519 BG
box 161 21 213 97 0.131968 0.583583 BG
box 90 426 95 430 0.128806 0.269038 BG
box 12 399 15 404 0.124615 0.058869 BG
box 217 16 223 19 0.12391 0.678103 BG
box 184 412 188 414 0.123426 0.149214 BG
box 371 376 434 440 0.122271 0.329851 BG
box 460 414 506 440 0.114585 0.316348 BG
box 412 383 415 386 0.114532 0.382391 BG
box 0 2 17 17 0.112317 0.615684 BG
box 270 428 274 440 0.111704 0.327712 BG
box 164 373 166 374 0.104888 0.062931 BG
box 564 155 572 169 0.10084 0.728146 BG
whiteboard 384 2 558 197 0.967133 0.020374 whiteboard
sink 53 152 534 416 0.20024 0.428773 BG
lamp 362 193 366 197 0.128046 0.287462 BG
lamp 366 211 370 216 0.111688 0.226956 BG
garbage_bin 75 267 247 440 0.227726 0.261920 BG
garbage_bin 183 413 188 414 0.225568 0.149214 BG
garbage_bin 11 400 15 404 0.193085 0.058869 BG
garbage_bin 190 362 246 440 0.176255 0.313967 BG
garbage_bin 0 383 15 404 0.171229 0.089508 BG
garbage_bin 0 333 94 440 0.16072 0.136052 BG
garbage_bin 240 349 249 365 0.155255 0.697143 BG
garbage_bin 71 416 78 418 0.150958 0.200777 BG
garbage_bin 209 334 217 337 0.147716 0.091345 BG
garbage_bin 201 367 206 369 0.141024 0.053624 BG
garbage_bin 412 383 416 387 0.130438 0.382391 BG
garbage_bin 222 60 457 430 0.126831 0.453051 BG
garbage_bin 90 427 95 430 0.103723 0.269038 BG
garbage_bin 192 319 199 332 0.102579 0.059347 BG
garbage_bin 164 372 166 375 0.1011 0.062931 BG
