bed 482 121 709 499 0.664216 0.192718 sofa_chair
paper 489 5 511 14 0.211426 0.627280 BG
paper 471 40 516 69 0.210677 0.347060 BG
paper 289 0 359 66 0.199442 0.255168 BG
paper 409 75 437 96 0.192707 0.544285 BG
paper 247 510 255 520 0.191925 0.541942 BG
paper 290 21 347 42 0.186559 0.466732 BG
paper 471 0 481 15 0.17798 0.664416 BG
paper 438 8 448 23 0.173234 0.708646 BG
paper 291 41 352 80 0.168386 0.554893 BG
paper 510 33 513 35 0.164752 0.658265 BG
paper 305 42 330 56 0.156087 0.597833 BG
paper 493 37 507 43 0.150287 0.651500 BG
paper 407 73 411 77 0.147918 0.661062 BG
paper 414 73 421 79 0.143977 0.439628 BG
paper 380 0 404 5 0.143488 0.739366 BG
paper 467 44 470 52 0.130785 0.608475 BG
paper 2 226 71 301 0.128651 0.430450 BG
paper 346 51 353 63 0.128088 0.539861 BG
paper 350 287 463 437 0.125201 0.529810 BG
paper 338 350 359 446 0.124009 0.634544 BG
paper 452 505 505 529 0.121268 0.283002 BG
paper 294 207 306 216 0.110287 0.757884 BG
paper 136 45 139 50 0.10634 0.692317 BG
paper 450 466 547 529 0.105634 0.565382 BG
paper 381 86 398 102 0.103067 0.584715 BG
box 470 40 511 69 0.446385 0.296118 BG
box 333 288 455 450 0.436328 0.398319 BG
box 1 225 69 307 0.39194 0.430450 BG
box 468 58 482 73 0.378395 0.497069 BG
box 485 66 489 69 0.366977 0.489595 BG
box 379 64 389 98 0.33463 0.392274 BG
box 0 184 33 269 0.288826 0.400725 BG
box 469 0 521 62 0.284792 0.252829 BG
box 426 299 437 310 0.262423 0.700581 BG
box 498 52 512 64 0.259279 0.647388 BG
box 280 186 432 290 0.241754 0.481006 BG
box 427 289 450 307 0.226591 0.738507 BG
box 467 44 471 52 0.217842 0.608475 BG
box 381 85 399 102 0.213361 0.584715 BG
box 284 179 474 529 0.208495 0.414622 fridge
box 380 61 453 103 0.20692 0.487054 BG
box 409 74 440 96 0.176517 0.544285 BG
box 413 73 421 79 0.161457 0.439628 BG
box 337 346 358 445 0.154294 0.634544 BG
box 493 37 506 43 0.14642 0.651500 BG
box 510 33 512 35 0.14038 0.658265 BG
box 433 75 437 83 0.137924 0.731919 BG
box 397 94 405 98 0.137698 0.670333 BG
box 260 0 359 81 0.135083 0.178024 BG
box 405 1 448 15 0.130498 0.470086 BG
box 452 504 505 528 0.123367 0.283002 BG
box 350 350 355 354 0.122804 0.835816 BG
box 197 16 425 286 0.119998 0.376899 BG
box 247 509 255 520 0.105359 0.541942 BG
box 407 54 438 65 0.103219 0.504282 BG
whiteboard 232 4 658 162 0.999291 0.000147 whiteboard
whiteboard 232 0 368 245 0.737113 0.085482 BG
whiteboard 375 0 454 113 0.222792 0.122708 BG
whiteboard 466 0 525 77 0.201539 0.143194 BG
whiteboard 256 0 364 90 0.167648 0.198612 BG
whiteboard 503 2 728 146 0.121894 0.544290 BG
person 718 125 729 148 0.272668 0.705729 BG
person 705 91 729 160 0.18532 0.745667 BG
sink 123 185 511 491 0.217546 0.157601 fridge
sink 258 70 533 266 0.129702 0.508456 BG
lamp 593 0 607 46 0.185173 0.575502 BG
bag 279 501 304 529 0.103475 0.496172 BG
garbage_bin 474 239 484 246 0.734494 0.264831 BG
garbage_bin 471 242 475 246 0.624077 0.375778 BG
garbage_bin 295 155 482 505 0.40968 0.357903 fridge
garbage_bin 456 230 488 250 0.349289 0.649594 BG
garbage_bin 468 233 475 236 0.29204 0.706561 BG
garbage_bin 478 231 487 238 0.271569 0.706141 BG
garbage_bin 460 250 481 277 0.215218 0.764664 BG
garbage_bin 465 241 473 250 0.212373 0.787611 BG
garbage_bin 449 242 474 264 0.106989 0.892959 BG
garbage_bin 460 246 467 256 0.106405 0.893537 BG
garbage_bin 444 463 544 529 0.103008 0.565382 BG
