door 581 0 712 529 0.137174 0.598190 door
paper 327 348 332 348 0.167355 0.782177 BG
paper 379 292 383 307 0.151148 0.318751 BG
paper 241 155 248 176 0.149824 0.658732 BG
paper 337 348 345 350 0.142433 0.809863 BG
paper 408 297 452 360 0.141939 0.749442 BG
paper 418 290 448 300 0.138644 0.777038 BG
paper 382 307 384 310 0.136174 0.278811 BG
paper 270 339 385 397 0.135562 0.574676 BG
paper 433 223 437 250 0.129421 0.848171 BG
paper 449 139 463 153 0.129171 0.714228 BG
paper 333 256 335 258 0.122474 0.657412 BG
paper 276 216 391 260 0.119182 0.652323 BG
paper 222 150 276 208 0.107645 0.584814 BG
paper 451 123 469 141 0.107496 0.693502 BG
paper 344 255 351 260 0.107276 0.638606 BG
paper 376 188 478 263 0.106308 0.665646 BG
paper 316 231 323 238 0.104919 0.758641 BG
paper 408 316 451 326 0.103217 0.827722 BG
paper 420 295 422 296 0.101939 0.859576 BG
paper 452 133 456 139 0.101271 0.794232 BG
paper 432 224 478 259 0.100118 0.860534 BG
box 332 225 372 255 0.361239 0.266852 BG
box 332 247 372 255 0.31805 0.588331 BG
box 366 40 505 127 0.29026 0.635666 BG
box 314 345 386 393 0.263192 0.421314 BG
box 275 227 389 384 0.254309 0.408243 BG
box 320 286 331 309 0.221639 0.722978 BG
box 325 297 331 306 0.214795 0.742201 BG
box 344 254 351 261 0.202777 0.638606 BG
box 368 62 414 77 0.202735 0.744342 BG
box 302 62 422 131 0.196441 0.725979 BG
box 366 226 372 250 0.195966 0.707410 BG
box 365 62 446 100 0.188426 0.709476 BG
box 320 254 337 284 0.186721 0.671021 BG
box 333 256 335 259 0.182411 0.657412 BG
box 303 212 394 259 0.181138 0.537376 BG
box 450 123 469 142 0.166515 0.693502 BG
box 415 72 439 84 0.162985 0.775549 BG
box 405 58 454 84 0.151119 0.743224 BG
box 409 86 417 96 0.133776 0.722582 BG
box 409 96 437 105 0.131981 0.775241 BG
box 327 73 378 118 0.1271 0.822960 BG
box 438 74 441 79 0.125208 0.833933 BG
box 329 256 346 274 0.125098 0.763467 BG
box 413 96 418 99 0.124035 0.786012 BG
box 125 185 160 267 0.123355 0.763086 BG
box 393 47 486 75 0.123349 0.786769 BG
box 128 174 137 186 0.122669 0.375569 BG
box 372 214 394 258 0.120106 0.567746 BG
box 323 252 348 260 0.11818 0.774344 BG
box 329 285 336 299 0.118159 0.820505 BG
box 403 69 483 105 0.117966 0.761308 BG
box 272 340 354 384 0.117936 0.475356 BG
box 394 229 400 259 0.11659 0.519700 BG
box 448 139 463 153 0.115187 0.714228 BG
box 379 277 391 284 0.114594 0.711836 BG
box 304 242 372 284 0.114412 0.748054 BG
box 373 85 418 115 0.112796 0.717911 BG
box 407 72 421 84 0.112735 0.822085 BG
box 434 71 441 74 0.111686 0.853922 BG
box 367 262 392 291 0.105339 0.788933 BG
box 376 343 381 345 0.104454 0.262478 BG
box 331 280 342 288 0.102863 0.747287 BG
box 370 67 378 74 0.102547 0.863807 BG
box 330 263 392 316 0.101752 0.777436 BG
box 429 80 441 89 0.100974 0.828385 BG
toilet 458 152 589 437 0.12125 0.734782 BG
toilet 486 101 729 487 0.117109 0.655634 BG
garbage_bin 481 125 487 137 0.175763 0.802260 BG
