cabinet 183 190 464 452 0.326176 0.610279 file_cabinet
paper 178 470 400 529 0.113608 0.358770 BG
paper 677 226 729 254 0.113039 0.514956 BG
paper 682 125 729 151 0.112691 0.560061 BG
paper 719 34 729 39 0.111972 0.237491 BG
paper 516 42 583 68 0.111244 0.637915 BG
paper 386 39 387 48 0.110627 0.664475 BG
paper 406 13 410 36 0.110054 0.591698 BG
paper 559 45 577 48 0.109659 0.662640 BG
paper 606 94 614 97 0.108491 0.720967 BG
paper 568 29 656 78 0.107964 0.645346 BG
paper 486 40 688 101 0.106928 0.597660 BG
paper 634 115 647 122 0.106065 0.691511 BG
paper 1 82 48 91 0.105571 0.892143 books
paper 651 52 654 54 0.105534 0.632620 BG
paper 81 492 84 495 0.105003 0.597593 BG
paper 678 379 728 396 0.103956 0.554273 BG
paper 651 56 729 82 0.10334 0.498361 BG
box 673 28 679 30 0.19942 0.226262 BG
box 303 8 388 51 0.195792 0.468380 BG
box 437 77 446 83 0.187088 0.468039 BG
box 509 2 592 48 0.182394 0.242201 BG
box 303 6 350 28 0.181678 0.661836 BG
box 296 493 407 528 0.177539 0.130715 BG
box 571 483 727 529 0.174648 0.188512 BG
box 442 2 523 45 0.174646 0.303544 BG
box 522 203 555 229 0.163715 0.686082 BG
box 555 175 560 187 0.163662 0.623681 BG
box 442 18 473 35 0.145446 0.408664 BG
box 558 175 629 200 0.142176 0.672881 BG
box 599 4 677 31 0.141428 0.338971 BG
box 644 3 729 34 0.135408 0.215380 BG
box 467 457 571 528 0.132752 0.225162 BG
box 285 27 451 60 0.129248 0.487117 BG
box 594 23 599 25 0.126964 0.378366 BG
box 684 40 689 42 0.124685 0.275341 BG
box 303 31 331 46 0.12019 0.760772 BG
box 351 55 363 72 0.116623 0.375138 BG
box 520 153 629 229 0.115427 0.678783 BG
box 512 17 531 22 0.114065 0.446607 BG
box 640 276 652 294 0.113748 0.706722 BG
box 702 449 729 521 0.110703 0.200714 BG
box 716 372 729 376 0.110503 0.197900 BG
box 525 203 616 233 0.108597 0.721414 BG
box 178 464 404 527 0.108241 0.358770 BG
box 401 11 458 38 0.107717 0.536366 BG
box 447 42 451 55 0.107552 0.579294 BG
box 304 50 361 87 0.10726 0.426159 BG
box 724 374 729 376 0.104813 0.160789 BG
box 476 106 482 107 0.103989 0.623715 BG
box 671 79 709 97 0.103614 0.459186 BG
box 343 68 349 71 0.101886 0.507318 BG
box 534 148 625 176 0.101657 0.695341 BG
box 547 79 549 81 0.101556 0.362505 BG
box 724 290 729 293 0.100254 0.187232 BG
box 37 482 87 529 0.100159 0.361272 BG
whiteboard 385 4 716 175 0.98775 0.007337 BG
whiteboard 367 91 413 114 0.91696 0.061078 BG
whiteboard 375 69 542 136 0.892742 0.088164 BG
whiteboard 382 78 386 93 0.838895 0.117889 BG
whiteboard 320 67 411 114 0.827643 0.122613 BG
whiteboard 371 91 401 97 0.783908 0.143939 BG
whiteboard 280 5 482 109 0.758865 0.169009 BG
whiteboard 352 55 402 95 0.741462 0.136854 BG
whiteboard 459 78 619 141 0.733872 0.145683 BG
whiteboard 378 72 440 124 0.690244 0.256467 BG
whiteboard 479 102 530 131 0.605078 0.288683 BG
whiteboard 343 47 620 100 0.552376 0.235046 BG
whiteboard 515 106 543 130 0.550128 0.354826 BG
whiteboard 334 68 380 91 0.506556 0.281232 BG
whiteboard 311 84 361 105 0.47192 0.463864 BG
whiteboard 480 83 568 115 0.435047 0.242887 BG
whiteboard 504 102 710 154 0.418834 0.457373 BG
whiteboard 511 105 544 113 0.396159 0.344101 BG
whiteboard 508 105 509 109 0.388302 0.438672 BG
whiteboard 456 64 714 109 0.377631 0.306763 BG
whiteboard 430 42 451 61 0.304738 0.544923 BG
whiteboard 475 102 504 115 0.304233 0.491389 BG
whiteboard 396 34 483 84 0.249318 0.596895 BG
whiteboard 521 106 600 140 0.246427 0.557307 BG
whiteboard 314 25 419 81 0.211398 0.413297 BG
whiteboard 391 34 448 57 0.209679 0.555373 BG
whiteboard 475 112 498 125 0.189786 0.604776 BG
whiteboard 448 99 497 125 0.175882 0.538837 BG
whiteboard 296 25 337 103 0.156938 0.404245 BG
whiteboard 424 56 424 59 0.153505 0.814104 BG
whiteboard 445 48 451 60 0.151585 0.610460 BG
whiteboard 414 55 422 63 0.149128 0.805734 BG
whiteboard 426 56 443 60 0.147619 0.808720 BG
whiteboard 476 106 482 108 0.137523 0.623715 BG
garbage_bin 684 40 689 43 0.171043 0.275341 BG
garbage_bin 723 290 729 293 0.146021 0.187232 BG
garbage_bin 672 80 729 106 0.138234 0.237082 BG
garbage_bin 702 340 729 358 0.123091 0.385166 BG
garbage_bin 646 57 729 83 0.119563 0.498361 BG
garbage_bin 690 190 729 214 0.103556 0.293434 BG
garbage_bin 547 79 549 82 0.103448 0.362505 BG
