bed 36 45 440 440 0.15169 0.164693 shelf
paper 582 208 590 213 0.121369 0.053555 BG
paper 39 249 44 252 0.121113 0.052402 BG
paper 317 433 329 438 0.120235 0.706448 BG
paper 333 421 352 440 0.117905 0.530175 BG
paper 1 365 9 385 0.104293 0.371621 BG
paper 25 434 26 440 0.103535 0.320687 BG
paper 393 351 400 355 0.101972 0.197656 BG
towel 1 365 8 386 0.129779 0.371621 BG
towel 1 385 13 400 0.115876 0.165806 BG
towel 173 321 187 325 0.105114 0.801493 BG
towel 124 39 397 438 0.100859 0.339831 BG
box 465 274 506 349 0.374383 0.405737 BG
box 25 434 26 440 0.163461 0.320687 BG
box 16 415 20 417 0.155016 0.308005 BG
box 26 416 30 425 0.151418 0.328468 BG
box 205 419 224 434 0.146147 0.496571 BG
box 0 322 15 333 0.115196 0.663485 BG
box 387 350 391 354 0.108536 0.287654 BG
box 548 195 550 195 0.107685 0.031029 BG
box 94 405 98 407 0.103901 0.107113 BG
box 543 194 547 197 0.100992 0.032814 BG
lamp 480 238 512 256 0.150195 0.617942 BG
lamp 494 255 497 259 0.120571 0.767246 BG
lamp 400 375 417 385 0.107265 0.153937 BG
lamp 404 383 411 388 0.104414 0.155218 BG
lamp 480 245 492 269 0.102969 0.802715 BG
lamp 462 372 465 375 0.100717 0.278077 BG
lamp 400 385 401 391 0.100303 0.146783 BG
garbage_bin 376 288 399 321 0.267435 0.180181 BG
garbage_bin 382 292 385 296 0.260188 0.178623 BG
garbage_bin 373 345 401 400 0.250768 0.243879 BG
garbage_bin 392 351 400 356 0.23933 0.197656 BG
garbage_bin 373 427 375 431 0.229194 0.170741 BG
garbage_bin 379 286 385 289 0.226041 0.262761 BG
garbage_bin 350 381 381 430 0.225961 0.465637 BG
garbage_bin 375 319 384 332 0.216439 0.371793 BG
garbage_bin 371 372 375 384 0.216411 0.470308 BG
garbage_bin 375 290 382 294 0.215405 0.323212 BG
garbage_bin 375 430 376 431 0.208086 0.217337 BG
garbage_bin 386 350 392 355 0.202918 0.287654 BG
garbage_bin 378 277 387 283 0.201516 0.287374 BG
garbage_bin 374 283 380 291 0.197763 0.339457 BG
garbage_bin 395 404 397 409 0.162375 0.133882 BG
garbage_bin 374 274 379 285 0.161547 0.379672 BG
garbage_bin 93 406 98 408 0.161048 0.107113 BG
garbage_bin 445 212 446 215 0.158293 0.072292 BG
garbage_bin 372 241 378 261 0.151456 0.307645 BG
garbage_bin 399 376 418 385 0.150135 0.153937 BG
garbage_bin 445 203 454 211 0.150064 0.059379 BG
garbage_bin 350 322 376 383 0.148796 0.694088 BG
garbage_bin 393 392 399 402 0.146227 0.123251 BG
garbage_bin 399 386 402 391 0.137246 0.146783 BG
garbage_bin 454 192 461 202 0.134824 0.054221 BG
garbage_bin 403 384 412 388 0.13347 0.155218 BG
garbage_bin 413 217 416 220 0.132973 0.342010 BG
garbage_bin 431 175 457 186 0.131731 0.321465 BG
garbage_bin 548 195 550 196 0.130653 0.031029 BG
garbage_bin 366 265 377 271 0.130181 0.427752 BG
garbage_bin 582 208 590 213 0.12475 0.053555 BG
garbage_bin 454 202 464 212 0.123494 0.044489 BG
garbage_bin 0 109 7 116 0.122476 0.033972 BG
garbage_bin 543 194 547 198 0.12107 0.032814 BG
garbage_bin 368 251 377 265 0.120762 0.417315 BG
garbage_bin 432 384 442 387 0.119362 0.160878 BG
garbage_bin 399 207 416 225 0.117984 0.461839 BG
garbage_bin 351 420 361 427 0.114344 0.405264 BG
garbage_bin 477 89 481 95 0.114329 0.034590 BG
garbage_bin 369 245 373 248 0.110843 0.522803 BG
garbage_bin 478 97 484 104 0.108671 0.036339 BG
garbage_bin 39 249 44 252 0.100441 0.052402 BG
