chair 115 112 521 516 0.842178 0.145853 sofa_chair
paper 42 87 90 135 0.153498 0.549939 BG
paper 1 497 18 529 0.15349 0.206941 BG
paper 490 191 496 200 0.152909 0.213983 BG
paper 717 326 725 326 0.152448 0.425570 BG
paper 48 136 55 145 0.150387 0.548788 BG
paper 447 32 458 80 0.14853 0.457941 BG
paper 493 167 502 192 0.144735 0.305233 BG
paper 407 46 410 54 0.144413 0.350915 BG
paper 19 140 40 161 0.140684 0.455273 BG
paper 487 201 495 216 0.136906 0.239063 BG
paper 2 128 36 140 0.133098 0.620704 BG
paper 383 402 386 408 0.13183 0.705413 BG
paper 387 30 407 69 0.128818 0.358094 BG
paper 409 39 410 46 0.12857 0.433455 BG
paper 143 35 151 62 0.127819 0.456792 BG
paper 326 0 458 72 0.123781 0.237141 BG
paper 81 156 86 157 0.115929 0.611643 BG
paper 48 132 64 136 0.115535 0.543921 BG
paper 379 44 389 59 0.114347 0.401267 BG
paper 6 6 73 121 0.112606 0.565800 BG
paper 1 27 7 46 0.112589 0.814791 BG
paper 9 9 59 13 0.110775 0.531224 BG
paper 51 93 70 105 0.110643 0.574582 BG
paper 506 61 525 121 0.108933 0.339486 BG
paper 2 43 24 57 0.104901 0.800025 BG
paper 50 89 64 96 0.103923 0.629450 BG
paper 48 144 87 166 0.100741 0.545333 BG
towel 519 0 539 62 0.24167 0.236465 BG
towel 500 0 538 157 0.12754 0.508749 BG
box 679 2 705 54 0.464158 0.489007 BG
box 619 1 729 54 0.43791 0.397574 BG
box 723 38 729 48 0.411323 0.347355 BG
box 316 3 392 48 0.407334 0.423778 BG
box 322 24 326 39 0.369728 0.568860 BG
box 385 28 408 70 0.298557 0.358094 BG
box 386 59 397 69 0.27319 0.418467 BG
box 692 51 708 53 0.267913 0.691949 BG
box 1 140 21 166 0.25295 0.506413 BG
box 9 8 57 14 0.247911 0.531224 BG
box 334 47 341 51 0.238589 0.658725 BG
box 313 2 460 84 0.236475 0.164293 BG
box 1 495 18 529 0.221317 0.206941 BG
box 38 139 47 153 0.218875 0.446917 BG
box 414 31 448 41 0.197594 0.427575 BG
box 378 44 389 59 0.193783 0.401267 BG
box 333 41 377 54 0.193517 0.717280 BG
box 391 30 408 39 0.175762 0.595843 BG
box 334 41 349 51 0.173389 0.755300 BG
box 365 43 377 54 0.170853 0.690006 BG
box 700 271 729 325 0.166387 0.416740 BG
box 1 120 51 166 0.160541 0.482136 BG
box 398 39 411 62 0.159876 0.347178 BG
box 1 2 65 36 0.154904 0.395444 BG
box 1 128 41 140 0.15437 0.620704 BG
box 46 8 58 14 0.154358 0.726629 BG
box 9 8 22 12 0.152056 0.582724 BG
box 408 39 410 46 0.136663 0.433455 BG
box 356 42 364 52 0.13555 0.803042 BG
box 406 46 411 54 0.12985 0.350915 BG
box 322 56 327 73 0.127105 0.663117 BG
box 405 30 451 57 0.118997 0.361214 BG
box 93 172 101 176 0.118989 0.585432 BG
box 30 32 66 38 0.116279 0.430143 BG
box 491 192 497 201 0.113099 0.213983 BG
box 493 167 503 192 0.112326 0.305233 BG
box 18 140 42 160 0.109559 0.455273 BG
lamp 243 2 325 76 0.158019 0.418112 BG
lamp 300 32 303 38 0.103303 0.845303 BG
bag 519 1 539 59 0.110253 0.236465 BG
garbage_bin 457 293 471 298 0.13365 0.683010 BG
garbage_bin 481 193 497 252 0.131089 0.260671 BG
garbage_bin 92 172 101 175 0.112148 0.585432 BG
garbage_bin 487 201 496 217 0.105893 0.239063 BG
garbage_bin 459 278 473 292 0.102401 0.581516 BG
